damnumber,dam_name,aviation,gap_status,hazardous_waste,hospitals,ng_pipelines,power_plants,railroads,svi_tracts,transportation,wwtp
UT00100,Pacificorp - Electric Lake,0,262141.8,0,0,0.6,0,0.0,32364068.2,0.0,0
UT00103,Fairview Lake,0,0.0,0,0,0.0,0,0.0,2042323.5,0.0,0
UT00117,Forsyth,0,0.0,0,0,0.0,0,0.0,233301.2,0.0,0
UT00119,Palisades Lake,0,2480.2,0,0,0.0,0,0.2,11952734.7,0.0,0
UT00124,Grass Valley,0,0.0,0,0,0.0,0,0.0,3029082.3,0.0,0
UT00126,Grassy Trail,0,0.0,0,0,0.0,0,1.5,2936835.0,0.0,0
UT00129,Gunlock,0,0.0,0,0,0.0,0,0.0,13098204.2,0.7,0
UT00130,Gunnison,0,0.0,0,0,0.0,0,0.0,37365833.6,0.0,0
UT00131,Gunnison Bend,0,0.0,0,0,0.0,0,1.0,38272331.3,0.0,0
UT00138,Ninemile,0,0.0,0,0,0.0,0,0.0,11976147.0,0.0,0
UT00140,Hobbs,0,0.0,0,0,0.0,0,0.1,1136400.1,1.4,0
UT00142,Holmes,0,0.0,0,0,0.0,0,0.0,2575018.7,0.1,0
UT00144,Huntington,0,0.0,0,0,0.3,0,0.0,14587294.5,0.0,0
UT00149,Ivins Bench,0,0.0,0,0,0.0,0,0.0,154335.9,0.0,0
UT00152,Davis County -Barton Creek Db,0,0.0,0,2,0.2,1,1.2,3126712.9,3.5,0
UT00153,Johnson,0,0.0,0,0,0.0,0,0.0,811622.7,0.0,0
UT00156,Jones,0,0.0,0,0,0.0,1,0.0,4607941.4,0.0,0
UT00158,Julius Flat,0,3311.8,0,0,0.0,0,0.0,4915911.2,0.0,0
UT00160,Kaysville,0,0.0,0,0,0.0,0,0.2,409314.6,0.1,0
UT00161,Kent`S Lake No. 1 (Upper),0,18721.3,0,0,0.0,0,0.0,11066120.5,0.9,0
UT00162,Kent`S Lake No. 2 (Middle),0,18721.3,0,0,0.0,0,0.0,7831396.6,0.8,0
UT00164,Kolob Creek,1,6352914.1,0,0,0.0,0,0.0,19797162.6,0.4,0
UT00165,Koosharem,0,0.0,0,0,0.0,0,0.0,14227724.2,0.0,0
UT00169,Davis County -Barnard Creek (Lower) Db,0,0.0,0,0,0.0,0,0.0,382634.9,0.0,0
UT00170,Davis County -Parrish Creek Db,0,0.0,0,0,0.3,0,1.7,1569138.2,6.8,0
UT00171,Davis County -Ricks Creek Db,0,0.0,0,0,0.6,0,0.0,682993.2,1.5,0
UT00172,Lake Mary-Phoebe,0,39158.0,0,1,0.0,1,0.5,11829342.7,1.8,756
UT00176,Lindsay (Bennett) Lower,0,0.0,0,0,0.0,1,0.0,4407071.1,0.0,0
UT00180,Silver Springs No. 1,0,114729.3,0,0,0.0,0,0.0,1053937.9,0.0,0
UT00184,Lost Lake Dike,0,0.0,0,0,0.0,0,0.0,15385813.0,0.0,0
UT00187,Bowns (Lower),0,1211998.5,0,0,0.0,0,0.0,6126457.9,0.0,0
UT00189,Enterprise (Lower),0,0.0,0,0,1.3,1,0.0,150147469.5,0.0,0
UT00194,Manderfield (A.K.A. Beaver),0,0.0,0,0,0.0,0,0.0,20143929.2,2.3,0
UT00196,Mantua,0,0.0,0,0,0.0,1,0.4,2839458.2,0.0,0
UT00197,Maple Lake,0,0.0,0,0,0.0,0,0.0,2671717.7,0.0,0
UT00199,Starvation Canyon,0,0.0,0,0,0.0,0,0.0,1807514.7,0.0,0
UT00200,Mcclellan Lake,0,0.0,0,0,0.0,0,0.0,2906529.6,0.0,0
UT00207,Mill Hollow,0,0.0,0,0,0.0,0,0.0,3734304.3,0.0,0
UT00208,Mill Meadow,0,1496381.1,0,0,0.0,0,0.0,18060145.9,0.0,0
UT00210,Miller Flat,0,0.0,0,0,0.3,0,0.0,12387636.3,0.0,0
UT00212,Millsite,0,1084628.3,0,0,1.4,0,0.0,35739983.6,0.0,0
UT00215,Mona,0,36359.3,0,0,3.7,0,3.4,34233600.9,0.0,0
UT00216,Montes Creek,0,665655.6,0,0,0.0,0,0.0,2496906.6,0.0,0
UT00221,Mountain Dell,0,460692.9,0,1,0.2,0,7.8,19049647.7,32.5,0
UT00227,Newcastle,0,0.0,0,0,10.9,0,0.0,151424744.0,0.0,0
UT00232,Northwest,0,0.0,0,0,0.9,0,0.1,1386770.2,1.1,0
UT00233,Oak Creek   (A.K.A. Upper Bowns),0,1211998.9,0,0,0.0,0,0.0,7175187.6,0.0,0
UT00234,Oaks Park,0,0.0,0,0,0.0,0,0.0,3355425.2,0.0,0
UT00235,Otter Creek,0,1108550.9,0,0,0.0,0,0.0,17799905.2,0.0,0
UT00238,Panguitch Lake,0,187428.4,0,0,0.0,0,0.0,4426078.7,0.0,0
UT00240,Paradise Park,0,0.0,0,0,0.0,0,0.0,37764960.2,0.0,0
UT00244,Winward (Pete),0,0.0,0,0,0.1,0,0.0,2800462.3,0.0,0
UT00246,Pine Lake,0,0.0,0,0,0.0,0,0.0,4786097.6,0.0,0
UT00249,Piute,0,1581412.6,0,0,0.0,0,9.2,224400991.5,3.5,0
UT00251,Porcupine,0,1550744.2,0,0,0.1,0,2.7,66552885.1,0.0,0
UT00254,Red Creek (Duchesne),0,1425829.3,0,0,0.0,0,0.0,4892832.5,0.0,0
UT00255,Red Creek (Iron),0,94009.6,0,0,0.0,0,0.0,8563736.1,4.1,0
UT00256,Red Pine,1,120982.3,0,0,0.0,1,0.0,2519648.2,0.6,0
UT00257,Rex,0,0.0,0,0,0.0,0,0.0,6617082.1,0.6,0
UT00259,Rocky Ford (Beaver),0,0.0,0,0,0.0,2,10.0,71680585.4,0.0,0
UT00260,Rolfson,0,0.0,0,0,0.3,0,0.0,13308098.8,0.0,0
UT00270,Settlement Canyon,5,0.0,1,1,0.0,0,21.5,154606704.7,15.7,48
UT00272,Sevier Bridge,0,11172581.6,0,0,0.9,0,39.7,863323715.0,3.7,0
UT00276,North Utah County - Silver Lake Flat,1,109036.6,0,1,0.0,0,8.3,38766660.2,10.0,0
UT00280,Smith and Morehouse,2,61853.4,0,0,0.0,0,0.0,16045872.7,0.0,16
UT00285,South Junction,0,0.0,0,0,0.0,0,0.0,4273916.1,0.0,0
UT00286,Spectacle Lake,0,1992607.8,0,0,0.0,0,0.0,4887978.7,0.0,0
UT00289,Spinners,0,3372.0,0,0,0.0,0,0.0,4878654.3,0.0,0
UT00298,Three Creeks (Beaver),0,18721.3,0,0,0.0,0,0.0,12536550.8,1.2,0
UT00299,North Utah County - Tibble Fork,1,81162.0,0,1,0.0,0,2.9,11959772.4,0.4,0
UT00301,Trial Lake,0,0.0,0,0,0.0,0,0.0,14844644.1,0.0,0
UT00302,Tropic,2,544528.9,0,0,0.0,0,0.0,28446416.5,0.0,0
UT00304,Twin Lakes (Salt Lake),0,44055.6,0,1,0.0,1,0.5,11876737.2,1.8,756
UT00306,Twin Pots,0,0.0,0,0,1.9,0,0.0,25793042.3,0.0,0
UT00309,Enterprise (Upper),0,0.0,0,0,1.3,1,0.0,150552043.5,0.0,0
UT00312,Vernon,0,0.0,0,0,0.0,0,0.0,4189750.4,0.0,0
UT00313,Wall Lake,0,0.0,0,0,0.0,0,0.0,15467042.9,0.0,0
UT00315,Washington Lake,0,0.0,0,0,0.0,0,0.0,14927385.4,0.0,0
UT00319,Etna,0,0.0,0,0,0.0,0,0.0,2292292.2,0.0,0
UT00321,White Pine,0,103984.1,0,0,0.0,1,0.2,2989644.4,1.2,0
UT00322,Corn Creek,0,1689.3,0,0,0.0,0,0.0,13560298.0,0.0,0
UT00323,Whiterocks Lake,0,55615.3,0,0,0.0,0,0.0,93342817.7,0.0,0
UT00324,Whitney,0,1469654.5,0,0,0.3,0,0.0,8072596.5,0.0,0
UT00325,Wide Hollow,0,27920.1,0,0,0.0,0,0.0,2480835.5,0.0,0
UT00327,Silver Leaf,0,0.0,0,0,0.7,0,1.0,884353.7,1.9,0
UT00330,Witt Lake,0,0.0,0,0,0.0,1,0.0,8566907.4,0.0,0
UT00332,Woodruff Creek,0,0.0,0,0,6.1,0,0.0,16569976.9,0.0,0
UT00335,Yankee Meadow,1,293407.3,0,0,0.0,0,0.0,16237387.2,0.9,0
UT00336,Farmington City Rudd Creek Db,0,0.0,0,0,0.0,0,0.0,20640.7,0.0,0
UT00340,Glenwood Debris,0,8448.8,0,0,0.0,0,0.0,1879787.7,0.0,0
UT00343,Grantsville,0,0.0,0,0,0.0,0,0.0,16246750.3,0.0,0
UT00349,Lloyd`S Lake (Monticello),0,0.0,0,0,0.0,0,0.0,866419.9,0.0,0
UT00353,Brough,0,0.0,0,0,0.0,0,0.0,16835477.4,0.0,0
UT00354,Three Creeks (Sevier),0,0.0,0,0,0.0,0,0.0,1801878.6,5.1,0
UT00365,Long Park (Daggett),0,39205.7,0,0,0.0,0,0.0,3911772.3,0.0,0
UT00366,Rocky Ford (Sevier),0,0.0,0,0,0.0,0,0.3,30595897.5,0.9,0
UT00378,Haights Creek (Lower),0,0.0,0,0,0.0,0,0.0,1496652.8,1.0,0
UT00380,Logan First Dam,0,0.0,0,0,0.2,0,1.2,12312274.5,0.0,0
UT00387,Utah County - Santaquin Debris,0,9802.6,0,0,0.4,0,2.3,7300246.8,0.1,48
UT00390,Cottonwood,0,0.0,0,0,0.0,0,0.0,29528384.7,0.0,0
UT00393,Kens Lake,2,1487148.7,0,0,0.3,0,0.0,7212503.9,0.0,0
UT00394,Browns Draw,0,0.0,0,0,1.2,0,0.0,38295078.0,0.0,0
UT00396,Warner Draw,0,0.0,0,0,0.0,0,0.0,6184516.6,0.0,0
UT00409,Jordan Valley Water Purification Upper,0,0.0,0,0,0.0,0,0.0,7447249.1,0.0,0
UT00412,Cedar City - Greens Lake No. 2,0,0.0,0,0,0.0,0,0.0,618087.0,0.4,0
UT00415,Cedar City - Greens Lake No. 3,0,0.0,0,0,0.0,0,0.0,1105861.8,0.4,0
UT00416,Cedar City - Greens Lake No. 4,0,0.0,0,0,0.0,0,0.0,127113.8,0.0,0
UT00429,Joyce,0,0.0,0,0,3.8,0,0.0,10720800.3,0.0,0
UT00431,Minersville - Big Wash Debris,0,0.0,0,0,0.0,0,0.0,2755346.1,0.0,0
UT00443,Tuacahn Wash Lower Detention Basin,0,0.0,0,0,0.0,0,0.0,462457.2,0.0,0
UT00461,Davis County -Holmes Creek Db,0,6386.2,0,0,0.0,0,0.0,868591.8,0.0,0
UT00469,American Fork Debris Basin,1,0.0,0,1,0.0,0,2.6,13212978.5,4.5,0
UT00470,Provo City - Slate Canyon Db No. 2,0,0.0,0,1,0.0,0,1.6,3361708.9,0.0,448
UT00472,North Utah County - Dry Creek,0,0.0,0,0,0.0,0,4.1,14631301.3,4.1,0
UT00475,Jordan Valley Water Purification Lower,0,0.0,0,0,0.0,0,0.0,5923345.2,0.0,448
UT00505,Ogden City - Sullivan Hollow,0,0.0,0,0,0.0,0,1.0,1149666.5,0.0,0
UT00514,Quail Creek,0,782578.3,0,0,0.0,1,0.0,20857768.3,0.8,0
UT00516,,0,0.0,0,0,0.0,0,0.0,9087871.8,0.0,0
UT00517,Recapture Creek,0,2297517.4,0,0,0.0,0,0.0,39720572.1,0.0,0
UT00519,Sandy City - Alta Canyon,0,0.0,0,0,0.0,0,0.4,2163589.0,0.4,0
UT00521,,0,0.0,0,0,0.1,0,0.0,2762107.2,0.0,0
UT00524,Provo City - Rock Canyon Db,1,16642.7,0,1,0.0,0,0.3,9231008.1,0.1,0
UT00527,Salt Lake County Federal Heights (#1a),0,0.0,0,1,0.0,0,0.0,608917.4,0.0,0
UT00528,Salt Lake County Shriners (#12),0,0.0,0,0,0.0,0,0.0,315666.8,0.0,0
UT00529,Salt Lake County Chandler Drive (#13),0,0.0,0,0,0.0,0,0.0,433140.5,0.0,0
UT00530,Salt Lake County School Pond (11th) 14,0,0.0,0,0,0.0,0,0.0,485697.7,0.0,0
UT00531,Salt Lake Co-Creekside Park (Big Cttnwd),0,0.0,0,1,0.0,0,0.7,3909290.0,0.7,756
UT00533,Sand H Debris,0,0.0,0,0,0.0,0,0.0,5889810.0,0.0,0
UT00534,Sandy City - Willow Creek,0,0.0,0,0,0.0,0,0.0,360529.3,0.0,0
UT00539,Salt Lake County - Sugarhouse,0,0.0,0,1,0.0,0,1.2,3659662.0,2.4,0
UT00553,Moab City - White Canyon Retention,0,164003.0,0,0,0.1,0,0.0,901908.0,0.0,0
UT00560,Silver Springs No. 2,0,0.0,0,0,0.0,0,0.0,47669.0,0.0,0
UT00563,Davis County -Shepard Creek Db,0,0.0,0,0,0.0,0,0.0,508451.1,1.0,0
UT00564,Davis County -Stone Creek Db,0,0.0,0,0,1.7,0,0.4,4740427.7,8.6,0
UT00566,Moab City - Tusher Canyon Detention,0,142927.1,0,0,0.1,0,0.0,995377.1,0.0,0
UT00573,Three Mile Creek (Perry City Fcd) Db,0,0.0,0,0,0.0,0,0.0,1530084.4,0.0,0
UT00580,South Ogden City Burch Creek Debris,0,0.0,0,0,0.0,0,0.7,126789.0,0.0,0
UT00584,North Utah County - Grove Creek Db,0,0.0,0,0,0.0,2,2.8,12433149.5,2.5,0
UT00585,North Utah County - Battle Creek,0,0.0,0,0,0.0,2,2.9,14488471.3,2.7,0
UT00588,South Creek - Washington County,1,1562200.8,0,0,0.0,0,0.0,17652176.4,0.4,0
UT00590,Sandy City - Falcon Db,0,0.0,0,0,0.0,0,0.5,2117685.9,0.7,0
UT00613,Utah County - Hobble Creek Debris Basin,0,220346.9,0,0,0.0,0,1.8,7754282.2,0.2,0
UT00618,Baker,0,0.0,0,0,0.2,0,0.0,2331449.6,0.0,0
UT00624,Lapoint,0,0.0,0,0,0.0,0,0.0,16349115.8,0.0,0
UT00627,Dairy Canyon Detention Basin,0,0.0,0,0,0.0,0,0.0,6759332.5,2.6,0
UT00638,Lindon City Dry Canyon Debris Basin,0,25454.1,0,0,0.0,0,0.0,1988099.6,0.0,0
UT00639,,0,0.0,0,0,0.0,0,0.0,51177.0,0.0,0
UT00644,Cottonwood Wash Detention Basin,1,0.0,0,1,0.0,0,0.0,9509212.6,0.0,0
UT00645,Salt Lake County - Scott Avenue,0,0.0,0,0,0.0,0,0.0,3746199.3,0.0,0
UT00647,Salt Lake County-Rotary Glen Park,0,0.0,0,0,0.0,0,0.0,4214301.7,0.0,0
UT00648,Davis County -Hooper Draw Db,0,0.0,0,0,0.0,0,2.0,1833820.2,1.9,0
UT00650,Wasatch County Lake Creek Debris Basin,0,0.0,0,0,0.0,0,0.0,3145962.2,0.0,0
UT00652,Box Lake (Payson City),0,0.0,0,0,0.0,0,0.0,2917567.0,0.0,0
UT00657,Fiddler Canyon Db #1,0,0.0,0,0,0.0,0,0.0,777431.4,0.5,0
UT00680,St. George City - City Creek D.B.,0,72247.2,0,0,0.0,0,0.0,7348825.0,1.1,0
UT00692,Davis County - Farmington Pond,0,0.0,0,0,0.0,1,1.2,3700731.3,5.6,0
UT00701,Deuel Creek,0,0.0,0,0,0.0,0,0.0,419261.9,0.0,0
UT00710,Quail Creek South Dam,0,782577.4,0,0,0.0,1,0.0,20753111.0,0.8,0
UT00713,Utah County Thistle Creek Debris,0,0.0,0,0,0.0,0,0.6,134634.5,0.0,0
UT00714,North Ogden City Orton Park/2100 North,0,0.0,0,0,0.0,0,0.0,439492.9,0.0,0
UT00728,Draper Pressure Irrigation Project,0,0.0,0,0,0.0,0,0.4,292731.3,0.0,0
UT00732,South Ogden City Burch Creek (Glasmann),0,0.0,0,0,0.0,0,0.0,116369.0,0.0,0
UT00735,Davis/Weber County Canal Co. Sunset Pond,0,0.0,0,0,0.0,0,0.9,596577.9,0.0,0
UT00736,Davis/Weber County Canal Co. Kaysville,0,4424.3,0,0,0.0,0,0.0,148297.8,0.0,0
UT00737,Davis/Weber County Canal Co. Layton Pond,0,0.0,0,0,0.0,0,0.0,2136089.6,0.0,0
UT00743,Lindon City Irrigation Project Zone Ii,0,0.0,0,0,0.0,0,0.0,134332.5,0.0,0
UT00744,Lindon City Irrigation Project Zone Iii,0,0.0,0,0,0.0,0,0.0,729052.7,0.0,0
UT00746,Sandy City - Flat Iron Mesa,0,0.0,0,0,0.0,0,0.4,2428931.2,0.2,0
UT00749,Ensign Downs Db (Aka Victory Road Db),0,0.0,0,0,0.0,0,0.0,146586.7,0.0,0
UT00755,Little Dell,0,0.0,0,1,0.0,0,4.2,16813925.0,38.8,0
UT00776,Bountiful City Eagle Ridge,0,0.0,0,0,0.0,0,0.0,31583.7,0.0,0
UT00803,Davis County -Mutton Hollow Db,0,0.0,0,0,0.0,0,0.1,818294.9,0.3,0
UT00817,Sdid - #1 Bountiful - Oakridge,0,0.0,0,0,0.0,0,0.0,204638.8,0.0,0
UT00818,Sdid - #2 Bountiful - North Canyon,0,0.0,0,0,0.0,0,0.0,381935.2,0.1,0
UT00820,Sdid - #4 Bountiful - Valleyview #1,0,0.0,0,0,0.0,0,0.0,337530.1,0.1,0
UT00827,Centerville - Barnard Creek (Upper) Db,0,0.0,0,0,0.0,0,0.0,411471.9,0.0,0
UT00828,Dairy Dam,0,0.0,0,0,0.0,0,0.0,3940801.0,0.0,0
UT00830,Cedar City - Fiddler Canyon Db #2,0,0.0,0,0,0.0,0,0.0,10119893.6,0.2,0
UT00832,Cedar City Dry Canyon Db,1,5575.6,0,1,0.0,0,0.0,2200059.0,0.0,0
UT00833,Cedar City Stephens Canyon Db North,1,0.0,0,1,0.0,0,0.0,1470374.7,0.0,0
UT00834,Cedar City Stephens Canyon Db South,1,0.0,0,1,0.0,0,0.0,1474669.0,0.0,0
UT00848,Farmington Irrigation - Reservoir C,0,0.0,0,0,0.0,0,0.0,683038.2,0.0,0
UT00857,Farmington Irrigation - Reservoir B,0,0.0,0,0,0.0,0,0.0,339377.3,0.0,0
UT00865,Riverton City - 3200 West Pond,0,0.0,0,0,0.0,0,0.0,3953654.6,0.0,448
UT00866,Deer Valley Snow Making Reservoir,0,8096.0,0,0,0.0,0,3.3,1182013.2,2.5,0
UT00871,Riverton City - 4200 West Pond,0,0.0,0,0,0.0,0,0.0,2175990.7,0.0,0
UT10101,Red Butte Dam,0,56111.4,0,0,0.0,0,7.0,15579942.8,18.9,0
UT10110,Tony Grove Lake Dam,0,0.0,0,0,0.0,0,0.0,277072.2,0.0,0
UT50324,St. George City - Navajo D.B.,0,0.0,0,0,0.0,0,0.0,401552.1,0.0,0
UT50376,Sandy City - East Sandy Elementary,0,0.0,0,0,0.0,0,0.0,102396.8,0.0,0
UT50414,Sand Hollow North Dam,0,0.0,0,0,0.0,0,0.0,6816285.6,0.0,0
UT50415,Sand Hollow West Dam,0,0.0,0,0,0.0,0,0.0,4895982.5,0.0,0
UT53205,Dutch Canyon Dam - Midway Irrigation,0,0.0,0,0,0.0,0,0.0,694879.1,0.0,0
UT53257,Oquirrh Lake Dam/Kennecott Daybreak,0,0.0,0,0,0.0,0,0.0,1024152.4,0.0,0
UT53277,Riverton City - Black Ridge Reservoir,0,67226.5,0,0,0.8,0,0.0,2496175.4,0.0,0
UT53326,Big Sand Wash Dam,1,0.0,0,0,4.2,0,0.0,130023725.1,0.0,0
UT53352,M&S Dam,0,0.0,0,0,0.0,0,0.0,9190379.3,0.0,0
UT53509,Santaquin Pressure Irrigation Reservoir,0,247166.9,0,0,0.0,0,0.0,2239843.2,1.6,0
